episode_id,session_id,source_file,scenario_id,eligible_for_training,exclusion_reason,runway_id,raw_row_start,raw_row_end,n_samples_raw,duration_s_raw,full_approach_start_idx_in_raw,baseline_core_start_idx_in_raw,has_known_initialization_transient,notes,qa_wind_speed_kt_mean,qa_wind_speed_kt_std,qa_wind_from_heading_std_deg,qa_turbulence_magnitude_max
circuito-completo__landing-01,circuito-completo,circuito-completo.csv,circuit,True,,02,0,7841,7842,131.28333333333117,0,0.0,True,"Standardized ~3km/800ft start, same family as the 13 straight-landing files; touch-and-go (COMPLETE detected via liftoff, not low groundspeed).",3.5740569927012955,0.281036774603925,3.92921138140677,0.0060167131014168
circuito-completo__landing-02,circuito-completo,circuito-completo.csv,circuit,True,,29,17706,26116,8411,140.27499999987344,17706,19122.0,False,"full_approach = [approach_maneuvering_start_idx, complete_idx]. baseline_core = [final_approach_established_idx, complete_idx] (minus any initialization_transient, N/A here since this is a real in-flight approach, not an artificial standardized start). CONFIRMED via touchdown heading (~264-269 deg, matches RWY29 true heading ~270 deg) and touchdown lat/lon (~634m from apt.dat RWY29 threshold, on the 11/29 latitude band) -- see data/config/runway_29.yaml for full evidence. This differs from RWY02/20 used by every other episode. Flagged for human review despite strong geometric evidence.",3.5740569927012955,0.281036774603925,3.92921138140677,0.0060167131014168
turbulencia05,turbulencia05,turbulencia05.csv,turbulence_05,True,,02,0,7145,7146,119.32499999999575,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,3.542149188069446,0.35171456924952577,7.001558886463091,0.25
turbulencia08,turbulencia08,turbulencia08.csv,turbulence_08,True,,02,0,7893,7894,131.7999999999983,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,3.500465139576777,0.36215611304022644,6.6632855193693326,0.6399999856948853
voo-2-com-16-nos,voo-2-com-16-nos,voo-2-com-16-nos.csv,wind_16kt,True,,02,0,7854,7855,131.31666666666453,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,18.583734944608846,1.6527784918911996,0.9951862094543993,0.0060154590755701
voo-2-com-rajada,voo-2-com-rajada,voo-2-com-rajada.csv,gust,True,,02,0,7956,7957,132.84999999999903,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,12.68418781239288,0.7246580372024489,6.955636985278602,0.0060154604725539
voo-3-com-16-nos,voo-3-com-16-nos,voo-3-com-16-nos.csv,wind_16kt,True,,02,0,7682,7683,128.28333333332884,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,19.025766073842853,1.443922319061408,0.9815570624623011,0.0060154609382152
voo-com-16-nos,voo-com-16-nos,voo-com-16-nos.csv,wind_16kt,True,,02,0,8602,8603,143.60000000000767,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,18.36885584081091,1.7347230752318088,0.9509975784754366,0.0060154581442475
voo-com-8-nos,voo-com-8-nos,voo-com-8-nos.csv,wind_8kt,True,,02,0,6638,6639,111.2083333333287,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,9.275607212208573,0.8066160482435802,1.0821045618015586,0.0060154595412313
voo-com-rajada-vindo-da-direita,voo-com-rajada-vindo-da-direita,voo-com-rajada-vindo-da-direita.csv,gust_direction_variant,True,,02,0,8208,8209,137.05000000000226,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,12.539602902415087,0.7611854412016997,8.776737521720275,0.0060154604725539
voo-com-rajada,voo-com-rajada,voo-com-rajada.csv,gust,True,,02,0,7118,7119,119.033333333,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,12.60653201051426,0.6951225485468017,8.7364901552785,0.00601546
voo-condicoes-normais,voo-condicoes-normais,voo-condicoes-normais.csv,normal,True,,02,0,7361,7362,122.89999999999546,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,3.463992224572567,0.3774887653311423,6.898695149488988,0.0060154017992317
voo-inicio-teste,voo-inicio-teste,voo-inicio-teste.csv,unknown,False,pilot_familiarization,02,0,15588,15589,261.01666666675317,0,,False,Pilot familiarization flight; excluded from training/normalization/splits per spec.,3.6219145701858215,0.267112252581655,4.998238466345625,0.0060154017992317
voo-normal2,voo-normal2,voo-normal2.csv,normal,True,,02,0,7280,7281,121.783333333,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,3.478348748294739,0.37974363084589013,7.123706131612614,0.006015402
voo-normal3,voo-normal3,voo-normal3.csv,normal,True,,02,0,7458,7459,124.59999999999543,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,3.477577070813346,0.3775077301635734,7.218152234626918,0.0060154008679091
voo2-com-8-nos,voo2-com-8-nos,voo2-com-8-nos.csv,wind_8kt,True,,02,0,7354,7355,122.76666666666178,0,,True,Standardized ~3km/800ft start (per pilot description); initialization_transient boundary detected in stage 5.,9.352966003430936,0.7757123576432788,1.0031462362528472,0.0060154581442475
