episode_id,frame_10hz,sim_time_s,row_phase
circuito-completo__landing-01,1043,104.31666666666668,CONTACT_CANDIDATE
circuito-completo__landing-01,1044,104.41666666666669,CONTACT_CANDIDATE
circuito-completo__landing-01,1060,106.01666666666668,CONTACT_CANDIDATE
circuito-completo__landing-01,1061,106.11666666666667,CONTACT_CANDIDATE
circuito-completo__landing-01,1062,106.21666666666668,CONTACT_CANDIDATE
circuito-completo__landing-01,1063,106.31666666666668,CONTACT_CANDIDATE
circuito-completo__landing-01,1064,106.41666666666669,CONTACT_CANDIDATE
circuito-completo__landing-01,1065,106.51666666666668,ROLLOUT
circuito-completo__landing-01,1066,106.61666666666667,ROLLOUT
circuito-completo__landing-01,1067,106.71666666666668,ROLLOUT
circuito-completo__landing-01,1068,106.81666666666668,ROLLOUT
circuito-completo__landing-01,1069,106.91666666666669,ROLLOUT
circuito-completo__landing-01,1070,107.01666666666668,ROLLOUT
circuito-completo__landing-01,1071,107.11666666666667,ROLLOUT
circuito-completo__landing-01,1072,107.21666666666668,ROLLOUT
circuito-completo__landing-01,1073,107.31666666666668,ROLLOUT
circuito-completo__landing-01,1074,107.41666666666669,ROLLOUT
circuito-completo__landing-01,1075,107.51666666666668,ROLLOUT
circuito-completo__landing-01,1076,107.61666666666667,ROLLOUT
circuito-completo__landing-01,1077,107.71666666666668,ROLLOUT
circuito-completo__landing-01,1078,107.81666666666668,ROLLOUT
circuito-completo__landing-01,1079,107.91666666666669,ROLLOUT
circuito-completo__landing-01,1080,108.01666666666668,ROLLOUT
circuito-completo__landing-01,1081,108.11666666666667,ROLLOUT
circuito-completo__landing-01,1082,108.21666666666668,ROLLOUT
circuito-completo__landing-01,1083,108.31666666666668,ROLLOUT
circuito-completo__landing-01,1084,108.41666666666669,ROLLOUT
circuito-completo__landing-01,1085,108.51666666666668,ROLLOUT
circuito-completo__landing-01,1086,108.61666666666667,ROLLOUT
circuito-completo__landing-01,1087,108.71666666666668,ROLLOUT
circuito-completo__landing-01,1088,108.81666666666668,ROLLOUT
circuito-completo__landing-01,1089,108.91666666666669,ROLLOUT
circuito-completo__landing-01,1090,109.01666666666668,ROLLOUT
circuito-completo__landing-01,1091,109.11666666666667,ROLLOUT
circuito-completo__landing-01,1092,109.21666666666668,ROLLOUT
circuito-completo__landing-01,1093,109.31666666666668,ROLLOUT
circuito-completo__landing-01,1094,109.41666666666669,ROLLOUT
circuito-completo__landing-01,1095,109.51666666666668,ROLLOUT
circuito-completo__landing-01,1096,109.61666666666667,ROLLOUT
circuito-completo__landing-01,1097,109.71666666666668,ROLLOUT
circuito-completo__landing-01,1098,109.81666666666668,ROLLOUT
circuito-completo__landing-01,1099,109.91666666666669,ROLLOUT
circuito-completo__landing-01,1100,110.01666666666668,ROLLOUT
circuito-completo__landing-01,1101,110.11666666666667,ROLLOUT
circuito-completo__landing-01,1102,110.21666666666668,ROLLOUT
circuito-completo__landing-01,1103,110.31666666666668,ROLLOUT
